locationsName,locationName,geocode,lat,lon,平均溫度,平均露點溫度,最高溫度,最低溫度,最高體感溫度,最低體感溫度,天氣現象,startTime,endTime,craw_date
臺北市,松山區,6300100,25.051608,121.568983,16,10,17,15,16,11,多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,14,8,15,13,12,11,陰時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,15,8,17,13,15,11,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,12,9,14,11,12,9,多雲時晴,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,16,10,20,11,19,9,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,14,12,16,13,14,12,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,19,13,24,13,24,12,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,17,14,19,15,19,14,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,20,16,24,15,26,14,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,18,16,20,16,21,16,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,21,17,25,16,25,16,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,19,17,21,17,20,17,多雲時晴,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,21,18,23,17,24,17,多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,松山區,6300100,25.051608,121.568983,20,18,21,19,21,18,多雲時晴,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,16,6,17,15,14,11,多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,14,4,15,13,12,10,陰時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,15,4,16,13,14,10,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,12,6,14,11,11,9,多雲時晴,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,16,6,20,11,18,9,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,14,9,16,12,13,12,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,19,8,23,12,22,12,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,16,12,19,15,18,14,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,20,12,24,15,24,14,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,18,14,20,16,20,16,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,21,13,24,16,23,16,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,19,14,21,17,19,15,多雲時晴,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,20,15,23,17,23,15,多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,信義區,6300200,25.035095,121.558742,19,16,21,18,20,16,多雲時晴,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,大安區,6300300,25.028247,121.526401,16,7,17,14,15,11,多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,大安區,6300300,25.028247,121.526401,13,5,14,12,11,9,陰時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,大安區,6300300,25.028247,121.526401,15,4,17,12,14,9,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,大安區,6300300,25.028247,121.526401,12,6,14,10,10,8,多雲時晴,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,大安區,6300300,25.028247,121.526401,16,6,20,10,18,7,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,大安區,6300300,25.028247,121.526401,14,9,16,12,13,11,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,大安區,6300300,25.028247,121.526401,18,9,23,12,23,10,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,大安區,6300300,25.028247,121.526401,16,12,18,13,18,12,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,大安區,6300300,25.028247,121.526401,20,12,24,13,25,12,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
臺北市,大安區,6300300,25.028247,121.526401,17,14,20,15,20,14,晴時多雲,2021-02-17T12:00:00+08:00,2021-02-17T18:00:00+08:00,2021-02-17
